text,label
The economy is growing rapidly under the new government.,real
"Aliens have landed in Mumbai, as confirmed by officials.",fake
Government launches new health initiative in rural areas.,real
"Cure for cancer found in coconut oil, scientists say.",fake
Local elections show increase in youth voter turnout.,real
Actor claims he’s from Mars and drinks sunlight.,fake
Education reform boosts literacy in tribal areas.,real
"Secret societies control the stock market, sources claim.",fake
Farmers receive subsidies under new budget program.,real
Man turns invisible after drinking magic potion.,fake
Technology sector records highest-ever growth this year.,real
Scientists confirm Earth is flat in leaked report.,fake
